"month","CPI"
1,100.4
2,100.2
3,100.9
4,101
5,100.7
6,100.3
7,100.5
8,100.9
9,101.1
10,101.8
11,103
12,103.2
13,103.2
14,102.1
15,103
16,103.8
17,104.4
18,105
19,105.3
20,105.3
21,105.2
22,104.3
23,102.8
24,102.4
25,101.9
26,103.9
27,102.7
28,101.8
29,101.8
30,101.6
31,101.8
32,101.3
33,100.9
34,101.2
35,101.3
36,101.6
37,101.9
38,100.9
39,100.8
40,101.2
41,101.4
42,101.5
43,101
44,101.3
45,101.5
46,101.4
47,101.9
48,102.8
49,102.2
50,102.7
51,103.3
52,103
53,103.4
54,104.4
55,105.6
56,106.5
57,106.2
58,106.5
59,106.9
60,106.5
61,107.1
62,108.7
63,108.3
64,108.5
65,107.7
66,107.1
67,106.3
68,104.9
69,104.6
70,104
71,102.4
72,101.2
73,101
74,98.4
75,98.8
76,98.5
77,98.6
78,98.3
79,98.2
80,98.8
81,99.2
82,99.5
83,100.6
84,101.9
85,101.53
86,102.7
87,102.37
88,102.81
89,103.06
90,102.95
91,103.3
92,103.48
93,103.61
94,104.37
95,105.12
96,104.59
97,104.9
98,104.9
99,105.4
100,105.3
101,105.5
102,106.4
103,106.5
104,106.2
105,106.1
106,105.5
107,104.2
108,104.1
109,104.5
110,103.2
111,103.59
112,103.37
113,103
114,102.15
115,101.78
116,102.05
117,101.91
118,101.7
119,102.04
120,102.52
121,102
122,103.22
123,102.07
124,102.39
125,102.1
126,102.67
127,102.67
128,102.57
129,103.05
130,103.21
131,103.02
132,102.5
133,102.49
134,101.95
135,102.38
136,101.8
137,102.48
138,102.34
139,102.29
140,101.99
141,101.63
142,101.6
143,101.44
144,101.51
145,100.76
146,101.43
147,101.38
148,101.51
149,101.23
150,101.39
151,101.65
152,101.96
153,101.6
154,101.27
155,101.49
156,101.64
157,101.75
158,102.28
159,102.3
160,102.33
161,102.04
162,101.88
163,101.77
164,101.34
165,101.92
166,102.1
167,102.25
168,102.08
